cost_escalation,schedule_delay,expenditure,physical_progress,risk_level
2,3,30,80,LOW
4,5,40,75,LOW
5,8,45,70,LOW
7,10,50,65,LOW
8,12,55,70,MEDIUM
10,15,60,65,MEDIUM
12,18,65,60,MEDIUM
15,20,70,60,MEDIUM
18,25,80,55,HIGH
20,28,82,52,HIGH
22,30,85,50,HIGH
25,35,88,45,HIGH
28,40,90,40,CRITICAL
30,45,92,35,CRITICAL
35,50,95,30,CRITICAL
40,60,98,20,CRITICAL
3,4,35,85,LOW
6,7,48,78,LOW
9,14,58,68,MEDIUM
11,16,62,64,MEDIUM
14,22,72,58,HIGH
17,24,78,55,HIGH
21,32,86,48,HIGH
27,38,91,42,CRITICAL
32,48,94,32,CRITICAL
